iter	Logloss
0	0.5342451933
1	0.4300427859
2	0.3661734301
3	0.3212769664
4	0.2873660766
5	0.2589360785
6	0.2378684165
7	0.2219707658
8	0.206696471
9	0.1938658844
10	0.1878950295
11	0.1816315246
12	0.1760560529
13	0.1713220032
14	0.1661459812
15	0.1615112971
16	0.1575935275
17	0.1555966245
18	0.1523634433
19	0.1500880961
20	0.1485494781
21	0.1457780618
22	0.1430233595
23	0.1410784625
24	0.1400367837
25	0.1385027719
26	0.1361517616
27	0.1346657798
28	0.1343852692
29	0.1336799029
30	0.1322373089
31	0.1314264964
32	0.1308923287
33	0.1298473961
34	0.128574918
35	0.1268982734
36	0.1258826006
37	0.1240846441
38	0.1238635631
39	0.1234034716
40	0.1227749028
41	0.1219357027
42	0.1207104215
43	0.1199134781
44	0.1188405821
45	0.1174147534
46	0.1157529149
47	0.1147473072
48	0.1145073142
49	0.1134416257
50	0.1124612942
51	0.1106204947
52	0.1093778874
53	0.1076453661
54	0.1072865386
55	0.1065387793
56	0.1052050394
57	0.1051176622
58	0.1043770476
59	0.1040120349
60	0.1030834084
61	0.1020969185
62	0.1019283751
63	0.101652069
64	0.101366172
65	0.1012133368
66	0.1011181481
67	0.1010090823
68	0.1004094153
69	0.09999547478
70	0.09960577295
71	0.0989533337
72	0.09812034825
73	0.09769906135
74	0.09664804537
75	0.09616526031
76	0.09609121092
77	0.09484195926
78	0.094233334
79	0.09416640435
80	0.09350898728
81	0.09296179967
82	0.09234039138
83	0.09097805965
84	0.09027230447
85	0.09005196153
86	0.08986719533
87	0.08920091472
88	0.08820872028
89	0.0881558446
90	0.08728680819
91	0.08641792252
92	0.08565703919
93	0.08561179568
94	0.08466834065
95	0.08456625363
96	0.08434135747
97	0.08376012115
98	0.08308732188
99	0.0821404949
