iter	Passed	Remaining
0	9	966
1	16	826
2	24	789
3	29	710
4	33	631
5	40	628
6	43	582
7	47	544
8	51	519
9	55	499
10	59	479
11	65	480
12	70	469
13	74	456
14	77	441
15	81	428
16	85	417
17	92	419
18	95	408
19	100	400
20	105	395
21	109	387
22	115	386
23	120	382
24	124	373
25	128	365
26	132	357
27	136	351
28	141	347
29	145	339
30	149	333
31	154	327
32	157	320
33	161	312
34	167	310
35	172	306
36	176	299
37	180	294
38	189	297
39	196	294
40	201	289
41	207	286
42	212	281
43	219	279
44	225	275
45	230	271
46	236	266
47	242	263
48	247	257
49	253	253
50	257	247
51	261	241
52	268	238
53	272	232
54	276	226
55	280	220
56	285	215
57	291	210
58	300	208
59	304	203
60	308	197
61	313	192
62	319	187
63	323	182
64	328	176
65	333	172
66	339	167
67	344	162
68	349	157
69	353	151
70	357	145
71	361	140
72	366	135
73	372	130
74	376	125
75	381	120
76	384	114
77	388	109
78	393	104
79	399	99
80	403	94
81	406	89
82	410	84
83	416	79
84	422	74
85	427	69
86	432	64
87	436	59
88	440	54
89	447	49
90	450	44
91	454	39
92	459	34
93	463	29
94	468	24
95	473	19
96	477	14
97	481	9
98	484	4
99	488	0
